Category,Sub-Category,Supplier,Product,Key Features
Personal Finance,Conventional Banks,Askari Bank,Personal Finance,"Min PKR 50,000; max up to 40% Debt Burden Ratio; max age 60 years"
Personal Finance,Conventional Banks,Askari Bank,Secured Personal Finance,Against own vehicle; up to PKR 5-7M
Personal Finance,Conventional Banks,MCB Bank,Personal Loan,"PKR 50,000 – 2 million; 1–4 years; no collateral"
Personal Finance,Conventional Banks,MCB Bank,Student Personal Loan,For LUMS MBA/Executive MBA students
Personal Finance,Conventional Banks,Bank of Punjab,Marriage Loan,"PKR 500,000 – 1.5 million; 1–5 years; fixed markup"
Personal Finance,Conventional Banks,Bank of Punjab,Personal Loan & Consumer Durables,Rates from 23.99% – 38.99%
Personal Finance,Conventional Banks,Samba Bank,Personal Loan,Short-term term loan
Personal Finance,Conventional Banks,Samba Bank,Break-Free Finance,Up to 95% against deposit account
Personal Finance,Conventional Banks,HBL,Personal Loan,"Medical, education, weddings, home repairs"
Personal Finance,Conventional Banks,BankIslami,Islamic Personal Finance,Shariah-compliant Tawarruq model
Personal Finance,Islamic Banks,Askari Islamic,Islamic Personal Finance (Secured),"Min PKR 100,000; max PKR 5-7M; halal needs"
Personal Finance,Islamic Banks,Meezan Bank,Various Islamic personal products,Pakistan's largest Islamic bank
Personal Finance,Islamic Banks,Faysal Bank,Islamic personal finance,Full-fledged Islamic bank
Personal Finance,Islamic Banks,Dubai Islamic Bank,Islamic personal finance,Pakistan operations
Personal Finance,Islamic Banks,MCB Islamic,Islamic personal finance,Islamic window of MCB
Personal Finance,Islamic Banks,Al Baraka Bank,Islamic personal finance,Full-fledged Islamic bank
Personal Finance,Fintech / NBFC (Digital Lending),SmartQarza,Digital loans,Safe easy cash loans
Personal Finance,Fintech / NBFC (Digital Lending),MoneyTap,Digital loans,Safe cash loans
Personal Finance,Fintech / NBFC (Digital Lending),Fauri Cash,Rapid cash solutions,Quick disbursement
Personal Finance,Fintech / NBFC (Digital Lending),PakCredit,Digital loans,Safe easy loans
Personal Finance,Fintech / NBFC (Digital Lending),PaisaGhur,Digital loans,Easy safe cash loans
Personal Finance,Fintech / NBFC (Digital Lending),QarzMitra,Digital loans,Easy borrow loans
Personal Finance,Fintech / NBFC (Digital Lending),Easypaisa,Digital banking,Pakistan's leading digital bank
Personal Finance,Fintech / NBFC (Digital Lending),JazzCash,Digital wallet & lending,Mobile account with lending
